"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"
"1"	-3.12059249534296	-0.0906553319809343	-1.53678446177994	-0.892497582123975	-2.56484648266117	-2.45338280223838	-2.79342503238124	-2.90627347261597	-2.83488455587371	-2.42175909910295	-1.57719827797234	-1.6209882017263	-2.39637559358864	-0.413270869171166	-6.69209417411716	-1.58890305905336	-3.3281512050905	-2.47260390658982	-1.30236727966545	-1.27830242736171	-1.09368247165506	-1.34741365973538	-3.11169088979406	-2.69164816077076	-2.50365734247967	-1.57165187938791	-7.07695965440974	-1.83283537575902	-2.06717265352703	-2.21090893011453	-4.16666486345662	-1.93082015127172	-1.18508039110633	-0.994981535433117	-2.66598211749373	-4.10758815044741	-4.01133218088937	-1.31330911303581	-1.22889552456798	-2.09196213244363	-2.0092663565898	-3.47610518834184	-8.66147622044742	-3.91510939429663	-2.04096746244505	-0.756640378580112	-1.37372991189932	-4.44635196256634	-3.40703653683675	-2.79239580200083	-1.50493666348014	-0.4756629370846	-0.457484828107007	-0.157149820977807	-4.61075338281072	-1.11007589862568	-1.46652579891783	0.0619318263012503	-1.97220415819036	-1.57906331788413	-1.65324214779795	-0.770812833553514	-1.83506909360372	-2.50139333855509	-1.27610714740157
"2"	-6.9893917161385	-0.367702001495178	-1.51507942052724	-0.974876448374758	-2.18189984877359	-2.93323535693931	-2.16432984149651	-0.940769305808986	-2.5836698993153	-0.514584966671111	-3.87101373526411	-0.522621390178002	-5.19402008183998	-1.06058801646184	-5.84823755817548	-1.20040165081198	-2.85887569273539	-1.56660446130972	-2.46970755108013	-1.11090119659886	-1.08221947357468	-1.12200748522956	-1.50758829998337	-1.13929192288048	-2.74323897521503	-1.46707869322222	-6.00705084235565	-5.25820162771182	-1.34905097966757	-2.36015969839738	-3.43240425288591	-1.20230353680679	-1.37815533605992	-0.857363436956045	-4.36901642888591	-4.32708631241333	-9.50895274843552	-1.26389231261267	-0.429717722402588	-1.63214194102017	-1.28336841077304	-3.97161924688633	-7.44396147569662	-4.95476123288104	-2.18217462978301	0.0169184858947134	-1.11216852500247	-3.17091941128858	-2.444781770674	-1.48644403592592	-1.1627447526733	-1.16938997945485	-0.586144241909216	-0.402809865515154	-4.8579671337369	-0.761049141060354	-2.08610720762852	-2.83209441079232	-1.4588666612824	-1.14710705976852	-1.66779206145916	-1.55756553765565	-0.859063222299835	-2.53773435530012	-5.35173156647161
"3"	-2.58273875736023	-0.574280897165017	-2.44585602243705	-0.753329763363543	-2.24457990861075	-3.83365642821435	-1.84344120372274	-2.22518404719943	-3.13815557741724	-2.51005359644438	-6.73118499953359	-1.16104549240542	-6.34184625074449	-0.686787781543323	-4.76121407982491	-1.67161060107203	-2.66300848746459	-0.971617609915517	-1.41437439915303	-0.838207807023605	-1.05446534988116	-1.26015911677785	-2.01895625314099	-1.48199553622359	-2.83328323954639	-1.54067719626537	-5.0519185898636	-1.21062437045455	-1.48534053968382	-2.82427556060107	-4.30585248493204	-0.958229075237726	-1.1011365262626	-1.45878454378328	-6.10344673855837	-4.70745020427357	-6.63087827799131	-1.19401923998281	-0.734709804715962	-1.36946683431747	-2.17668835860188	-6.34297934917871	-8.52758797252102	-2.15763323491891	-2.0132850519021	-0.282593687483927	-2.42304352611494	-6.40042517721348	-2.61493588717742	-0.540668227338627	-1.04510922351266	-0.899046011733183	-0.244460785574703	-0.715681093016309	-2.85368201887603	-1.30675192462956	-1.76319446529572	-1.10788728014937	-1.56545798817514	-0.958369084014902	-5.80211232121956	-1.07410878644884	-2.19935719846598	-2.09669367712081	-8.15411622330119
"4"	-4.7830138695519	-0.0680801424829697	-2.07816440102885	-0.810241303854732	-1.4153099108679	-3.2334539315143	-1.16129810155731	-3.12483719189451	-2.31569247074499	-0.620816281411548	-3.53717146763994	-1.15956245484904	-4.3787323877312	-1.41800263278236	-4.38279044869393	-0.859084931737068	-2.58621936474403	-1.38800179498553	-2.33973780230985	-1.30398617809536	-2.09578101873452	-1.31758513526501	-1.9463198041061	-1.7173197699345	-2.24196015041447	-1.29479231527385	-3.73689275414763	-1.20404942853632	-2.37930161648985	-3.04219445252477	-2.69253907940034	-1.48312530868689	-1.56242112295213	-1.47030543475169	-3.1640935253243	-8.45835606637695	-4.83598576140749	-1.24558151648764	-0.58054827681696	-1.78640592467664	-1.59392273725183	-7.64041654771922	-8.31404235862905	-2.79405259179876	-2.72810056565122	-0.575629233597062	-1.70481185750205	-2.73099963582313	-3.37036662752375	-2.41223107329371	-0.73478627436335	-0.91213585271296	-0.671483712804586	-0.147911563086347	-5.11090435943752	-0.764467769027286	-1.22507447142903	-1.30503436365455	-0.539110523057432	-1.77799199859698	-1.39862273757414	-0.443218116859028	-1.8495047358789	-4.76575115706567	-10.8323731534624
"5"	-3.39243397210826	-0.360802342984165	-1.70462416629685	-1.2224647851375	-1.51439151212753	-3.47452397931842	-2.94060304049185	-2.68798073081519	-1.9438401751723	-1.48594040504203	-2.8780937381946	-1.04521139126754	-2.34313635730087	-1.53333616023989	-4.22762467800389	-1.51311986241681	-2.9526270267153	-1.74071586875567	-1.32502418188458	-1.5366722597465	-1.58381685095135	-1.36889325146009	-2.53355663437908	-3.29225139733137	-2.03761089741911	-1.24425569141274	-1.98991186327553	-1.06733507782111	-1.6040831678084	-2.80068208649077	-3.97927597553613	-1.62261980414993	-0.958252346221467	-0.665211838280309	-4.89244936394136	-5.84894461781849	-5.57234434242028	-1.15801402960846	-0.965104729286876	-0.799672047967444	-1.59705170528591	-3.83080116437921	-8.77321015367344	-4.49491607531011	-3.18133293560853	-0.388823362936977	-0.745019083829951	-2.32108112190364	-1.85054978524315	-1.5908803660087	-1.03413276737773	-1.40412514734423	-1.19426260895627	-0.319875713868227	-2.43303793714006	-1.07586825931645	-2.28848582237698	-1.52177110467807	-1.6309447056904	-1.82997564263419	-2.91432359193522	-2.36295627297069	-1.08983000537962	-2.59104702867857	-3.3168299442825
"6"	-3.14393179547745	-0.553514215292657	-2.11313149195683	-1.33874921876144	-1.48814693590953	-2.23996226515628	-3.02958158585889	-1.48057250086222	-1.98461521362113	-2.03515200634499	-3.49402097485033	-0.764098644620609	-3.45326925647649	-0.988007142605737	-5.4481660718047	-1.88392326578384	-3.71089276085008	-1.74974424643469	-1.64013704695127	-1.79145196250418	-1.27399837373391	-0.865847564732925	-2.7925540882152	-1.17936450533627	-3.42076638679811	-1.16110242669513	-3.7250172196069	-1.03402550622654	-2.51437737633687	-3.27637741171861	-1.36987606767795	-1.76187275641007	-0.804005225422116	-0.553659550500451	-4.03931272092028	-3.7908553099847	-6.52258924267013	-1.68505111165729	-1.68670100021806	-1.74366794445239	-1.52867615493857	-3.48934146630132	-9.99647507045936	-3.27745077537808	-0.753332206256629	-1.18230198948182	-0.655370847583291	-3.63756150985489	-3.92420450482673	-0.86203692203488	-1.43533628748248	-1.04061189510452	-0.847991686167363	-0.596667080647394	-4.36150109975522	-0.992524501167968	-1.66003550765678	-1.33293702034108	-1.00270105361921	-1.85116990103836	-3.15386977073944	-0.581642681788316	-2.39518384146703	-2.48299245522913	-3.30201988198708
"7"	-3.95594487755976	-0.459057151974963	-2.0576376918136	-1.08735343154835	-1.20940600867958	-2.22323189021128	-3.03716956508941	-2.26826130669592	-2.12258257820624	-0.650594457946149	-2.78112538586766	-0.856887734841088	-5.08303655961333	-1.14204635000486	-2.27867739886929	-1.65436611789106	-2.57714133743905	-1.97773663846079	-2.30428762163467	-1.11609409921056	-1.52134009909275	-1.34993867318526	-1.8916904054803	-2.19306496156525	-2.55745897080339	-1.2319733563383	-6.29349071181904	-2.19207398872807	-1.56298688317504	-2.03263667941808	-2.83179074627002	-1.3921188275499	-0.860291460320244	-2.05739981572641	-4.28574020772665	-2.726723459334	-2.64462930579848	-1.55677937338114	-1.25760692600056	-2.64305628138387	-2.08193234986613	-3.79313434566249	-9.27796614344202	-3.97896621556917	-1.23237553596533	-1.29462226292212	-2.46146164945384	-2.9622480782329	-3.01717410547393	-2.51916729688982	-1.60046232500585	-0.534382476910002	-0.451632161774844	-0.643656332217996	-2.73199506816578	-1.4803971645711	-2.34998426882169	-0.436331360131497	-1.06736578092608	-1.37454374684295	-2.06830509343945	-0.900541102464938	-1.56882130419674	-2.07126359369059	-5.66497172856046
"8"	-2.31432023030658	0.0415874879011523	-1.7764381076617	-0.97514904410911	-1.60279948176208	-2.94956405923757	-2.48533105417691	-3.19994042147308	-2.0576553680653	-1.71727579914808	-5.82685126046894	-1.6985234064344	-2.78820885223717	-0.90586349016712	-2.91939293166116	-1.2355334131876	-2.27701532712911	-1.8230209231077	-2.29227067033469	-0.985706979606144	-1.12386275335801	-1.1130187617083	-2.24227983338021	-1.17786473699259	-2.72349849346712	-0.484852938809291	-2.32073359843089	-1.03570400621408	-1.48456520673073	-3.32466022704818	-2.11642582501336	-0.674159538119988	-1.53433244121012	-1.75902687192254	-5.86662918947484	-4.64562491252313	-2.75380449869243	-1.67556773109115	-1.10170107142951	-0.532232776202849	-1.46584049216987	-4.60556228397684	-8.576531565173	-6.17296667930721	-1.22374668386546	-1.29771483506661	-2.09564370550348	-5.75018320836825	-3.00834222879282	-1.27964093273371	-1.08252205481003	-1.66756769560491	0.00647156252865493	-0.114618331760472	-6.50557867482154	-1.46311794427669	-0.69989816204124	-3.20984944281505	-1.63415739257407	-2.40852562376525	-2.57234634880495	-1.16100625261156	-0.975291781403999	-3.15163496579363	-0.794207558213879
"9"	-5.9489429389667	-0.0453669883194343	-1.56371576171806	-0.948688217449169	-1.8578210112117	-3.25266353255381	-2.13903115238106	-2.5834114872007	-2.63424511084787	-1.77241864955529	-3.03219744080097	-0.992604446425446	-2.56116216147725	-0.461307333103419	-4.74967955967568	-1.90280312765534	-2.86841333538272	-1.06034431356101	-1.71483974647736	-1.42516034484064	-0.994224849364469	-1.22711966138158	-2.26619036288585	-1.98023426572284	-2.27092666219772	-0.990700717353736	-3.13727560209755	-1.12015864422352	-1.0718453408237	-3.10193304924071	-4.21242480728502	-1.60401630199389	-0.865501597800054	-0.74561119390311	-5.29784334389165	-1.62557964870948	-5.31292209508669	-1.71568773451629	-0.576796862086664	-2.32599399396794	-1.77392617394148	-6.79892573006981	-7.64470586383374	-5.38611860233789	-3.57145245837718	-1.69229810492713	-3.19131650241345	-3.29546830523223	-2.32732387915257	-1.89956163323608	-0.938914498302358	-0.418220770689751	-1.41850131471931	-0.0670799555838382	-4.19002970784904	-1.02473622824897	-1.42162476836043	-1.56047811805789	-1.58040960402143	-2.44121157463813	-2.49252217498487	-1.06693479812211	-1.43638756698187	-3.86077237766836	-1.39055787883596
"10"	-1.70703736949709	-0.524320944905651	-3.67005369846117	-0.878362368626877	-1.75559192307102	-3.074657224049	-1.72286019683341	-1.86833535799177	-1.55007760229286	-1.50053462022942	-3.95341227253924	-1.36990420054796	-1.81656328450832	-1.47898683548385	-2.55575126400876	-0.588170945767832	-3.31037894054573	-2.29888349703205	-2.55745922364595	-1.83149300798799	-1.04730525196197	-0.929095957028043	-3.72568825044464	-1.98984278465323	-3.06055868216595	-1.05546438468655	-8.82736871292082	-1.13266646183643	-2.08315450746374	-2.36690437374702	-1.65847110586475	-0.937346022543652	-0.940405652229549	-1.22699935103331	-4.66311913583601	-7.57983570190107	-3.77784133008196	-1.09740898594889	-1.00258020978096	-1.74130108031586	-1.3195753052658	-7.86394893380103	-8.66528593258039	-1.78307137185577	-1.67454346540038	-1.62196501328855	-1.4300527947502	-5.30253189332344	-3.04011742060826	-0.903405491059962	-1.31131158147728	-0.949434365626601	0.0863858093058334	-0.569501196509904	-4.91512430301183	-0.984340647430876	-0.862857029668397	-2.4369621697888	-0.699101293360173	-0.850584290442002	-1.27143738158654	-1.16564176884165	-1.29209535354431	-2.46175218310328	-6.59799879401565
