There are 18653 gene objects in the arrayList.
Gene[90]: 	ABHD17C, 	36552, 	12, 	0
Gene[91]: 	ABHD2, 		36556, 	8, 	0
Gene[92]: 	ABHD3, 		36524, 	40, 	0
Gene[93]: 	ABHD4, 		36536, 	28, 	0
Gene[94]: 	ABHD5, 		36536, 	28, 	0
Gene[95]: 	ABHD6, 		36542, 	22, 	0
Gene[96]: 	ABHD8, 		36518, 	40, 	6
Gene[97]: 	ABI1, 		36504, 	60, 	0
Gene[98]: 	ABI2, 		36538, 	26, 	0
Gene[99]: 	ABI3, 		36506, 	58, 	0
Gene[100]: 	ABI3BP, 	36404, 	154, 	6
Gene[101]: 	ABL1, 		36492, 	72, 	0
Gene[102]: 	ABL2, 		36390, 	174, 	0
Gene[103]: 	ABLIM1, 	36430, 	134, 	0
Gene[104]: 	ABLIM2, 	36450, 	114, 	0
Gene[105]: 	ABLIM3, 	36418, 	144, 	2
Gene[106]: 	ABR, 		36468, 	96, 	0
Gene[107]: 	ABRA, 		36498, 	66, 	0
Gene[108]: 	ABRACL, 	36556, 	8, 	0
Gene[109]: 	ABT1, 		36518, 	46, 	0
Gene[110]: 	ABTB1, 		36484, 	80, 	0
Gene[111]: 	ABTB2, 		36490, 	74, 	0
Gene[112]: 	ACAA1, 		36480, 	84, 	0
Gene[113]: 	ACAA2, 		36506, 	58, 	0
Gene[114]: 	ACACA, 		36460, 	104, 	0
Gene[115]: 	ACACB, 		36182, 	364, 	18
Gene[116]: 	ACAD10, 	36346, 	210, 	8
Gene[117]: 	ACAD11, 	36466, 	98, 	0
Gene[118]: 	ACAD8, 		36480, 	78, 	6
Gene[119]: 	ACAD9, 		36416, 	148, 	0
Gene[120]: 	ACADL, 		36526, 	38, 	0
Gene[121]: 	ACADM, 		36490, 	74, 	0
Gene[122]: 	ACADS, 		36502, 	62, 	0
Gene[123]: 	ACADSB, 	36524, 	40, 	0
Gene[124]: 	ACADVL, 	36434, 	130, 	0
Gene[125]: 	ACAN, 		36224, 	328, 	12
Gene[126]: 	ACAP1, 		36490, 	74, 	0
Gene[127]: 	ACAP2, 		36502, 	62, 	0
Gene[128]: 	ACAP3, 		36508, 	56, 	0
Gene[129]: 	ACAT1, 		36520, 	44, 	0
Gene[130]: 	ACAT2, 		36538, 	26, 	0
Gene[131]: 	ACBD3, 		36520, 	44, 	0
Gene[132]: 	ACBD4, 		36490, 	68, 	6
Gene[133]: 	ACBD5, 		36514, 	50, 	0
Gene[134]: 	ACBD6, 		36518, 	46, 	0
Gene[135]: 	ACBD7, 		36558, 	6, 	0
Gene[136]: 	ACCS, 		36506, 	54, 	4
Gene[137]: 	ACCSL, 		36514, 	50, 	0
Gene[138]: 	ACD, 		36480, 	84, 	0
Gene[139]: 	ACE, 		36356, 	202, 	6
Gene[140]: 	ACE2, 		36522, 	42, 	0
Gene[141]: 	ACER1, 		36534, 	30, 	0
Gene[142]: 	ACER2, 		36496, 	68, 	0
Gene[143]: 	ACER3, 		36538, 	26, 	0
Gene[144]: 	ACHE, 		36536, 	28, 	0
Gene[145]: 	ACIN1, 		36404, 	160, 	0
Gene[146]: 	ACKR2, 		36530, 	34, 	0
Gene[147]: 	ACKR3, 		36480, 	84, 	0
Gene[148]: 	ACKR4, 		36550, 	14, 	0
Gene[149]: 	ACLY, 		36476, 	88, 	0
Gene[150]: 	ACMSD, 		36506, 	58, 	0
Gene[151]: 	ACN9, 		36548, 	14, 	2
Gene[152]: 	ACO1, 		36434, 	130, 	0
Gene[153]: 	ACO2, 		36510, 	54, 	0
Gene[154]: 	ACOT1, 		36552, 	12, 	0
Gene[155]: 	ACOT11, 	36422, 	142, 	0
Gene[156]: 	ACOT12, 	36502, 	62, 	0
Gene[157]: 	ACOT13, 	36544, 	20, 	0
Gene[158]: 	ACOT2, 		36556, 	8, 	0
Gene[159]: 	ACOT4, 		36496, 	68, 	0
Gene[160]: 	ACOT6, 		36538, 	26, 	0
Gene[161]: 	ACOT7, 		36526, 	38, 	0
